image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,occupancy,regularity_index
cmp_b0001.jpg,1024,543,179,106,79,15,5,1.0533333333333332,0.6608486102442054
cmp_b0002.jpg,1024,398,151,80,67,15,3,1.488888888888889,0.613333484646395
cmp_b0003.jpg,449,1024,154,87,71,12,5,1.1833333333333333,0.7133334553534776
cmp_b0004.jpg,691,1024,154,101,89,13,5,1.3692307692307693,0.7597204016909743
cmp_b0005.jpg,1024,682,149,99,84,16,3,1.75,0.5181819961431708
cmp_b0006.jpg,1024,584,134,63,50,17,2,1.4705882352941178,0.2819967073838778
cmp_b0007.jpg,1024,636,185,108,90,20,3,1.5,0.2787880863176435
cmp_b0008.jpg,1024,413,154,118,86,19,4,1.131578947368421,0.5856460075104966
cmp_b0009.jpg,1024,399,137,73,60,18,2,1.6666666666666667,0.19393968916424012
cmp_b0010.jpg,1024,589,168,72,66,18,3,1.2222222222222223,0.44242441120287207
cmp_b0011.jpg,1024,383,124,40,32,13,3,0.8205128205128205,0.7804196910997535
cmp_b0012.jpg,1024,693,164,79,64,17,2,1.8823529411764706,0.23707694578930927
cmp_b0013.jpg,1024,996,218,149,132,22,6,1.0,2.999998833519424e-07
cmp_b0014.jpg,1024,753,196,139,115,19,4,1.513157894736842,0.544019235957635
cmp_b0015.jpg,1024,680,176,121,99,18,4,1.375,0.6257576536271595
cmp_b0016.jpg,1024,672,169,78,65,18,3,1.2037037037037037,0.44444461212114633
cmp_b0017.jpg,1024,1020,175,108,89,17,4,1.3088235294117647,0.6996435565818441
cmp_b0018.jpg,710,1024,193,138,107,15,5,1.4266666666666667,0.6201213597317965
cmp_b0019.jpg,889,1024,178,112,101,15,5,1.3466666666666667,0.6288486276987413
cmp_b0020.jpg,543,1024,172,108,84,10,7,1.2,0.17818216341581597
cmp_b0021.jpg,500,1024,143,83,70,8,7,1.25,0.039394309825360685
cmp_b0022.jpg,1024,984,177,110,97,20,2,2.425,0.0
cmp_b0023.jpg,1024,855,142,93,81,17,4,1.1911764705882353,0.7124777741802922
cmp_b0024.jpg,1024,739,93,30,24,9,2,1.3333333333333333,0.296969961248734
cmp_b0025.jpg,1024,760,132,84,72,20,3,1.2,0.31151534119368635
cmp_b0026.jpg,1024,701,162,113,97,21,4,1.1547619047619047,0.4497836478813917
cmp_b0027.jpg,1024,745,225,145,119,20,4,1.4875,0.4801516219375286
cmp_b0028.jpg,1024,1004,202,121,106,19,5,1.1157894736842104,0.3873685946091856
cmp_b0029.jpg,1024,848,196,142,130,16,8,1.015625,0.0
cmp_b0030.jpg,592,1024,147,75,65,13,3,1.6666666666666667,0.7272728669420772
cmp_b0031.jpg,993,1024,86,45,43,11,2,1.9545454545454546,0.3625347142831945
cmp_b0032.jpg,732,1024,131,61,54,12,3,1.5,0.678788019650988
cmp_b0033.jpg,828,1024,140,73,59,12,3,1.6388888888888888,0.6636365127639312
cmp_b0034.jpg,1024,854,196,130,105,18,5,1.1666666666666667,0.4484850139576948
cmp_b0035.jpg,770,1024,109,59,50,9,4,1.3888888888888888,0.6909091584940112
cmp_b0036.jpg,947,1024,178,88,77,15,2,2.566666666666667,0.29575789120278395
cmp_b0037.jpg,994,1024,183,130,109,17,8,0.8014705882352942,0.0
cmp_b0038.jpg,1024,721,152,97,82,16,5,1.025,0.5972728620936076
cmp_b0039.jpg,1024,775,175,117,102,15,5,1.36,0.6273940830375838
cmp_b0040.jpg,1024,687,198,137,119,21,5,1.1333333333333333,0.2521214089439162
cmp_b0041.jpg,954,1024,178,128,110,17,6,1.0784313725490196,0.3247774327120383
cmp_b0042.jpg,1024,933,148,97,84,17,4,1.2352941176470589,0.7076649425808741
cmp_b0043.jpg,1024,550,103,52,44,15,2,1.4666666666666666,0.41575782574827425
cmp_b0044.jpg,1024,591,134,65,55,13,3,1.4102564102564104,0.7552448796566437
cmp_b0045.jpg,1024,704,219,19,17,12,1,1.4166666666666667,0.2878791237831221
cmp_b0046.jpg,1024,778,162,97,80,17,3,1.5686274509803921,0.47130142605188763
cmp_b0047.jpg,1024,849,300,207,178,20,7,1.2714285714285714,0.0
cmp_b0048.jpg,1024,696,97,51,38,10,2,1.9,0.30181846870509943
cmp_b0049.jpg,1024,715,96,71,64,19,2,1.6842105263157894,0.12535915905452816
cmp_b0050.jpg,1024,636,78,45,40,14,2,1.4285714285714286,0.48658032319285294
cmp_b0051.jpg,810,1024,224,103,98,19,4,1.2894736842105263,0.5684211365231056
cmp_b0052.jpg,942,1024,117,58,56,12,3,1.5555555555555556,0.6727274168961652
cmp_b0053.jpg,1015,1024,110,55,52,13,3,1.3333333333333333,0.7636364834710136
cmp_b0054.jpg,1024,809,101,46,44,13,2,1.6923076923076923,0.5244757656705705
