image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr
cmp_b0324.jpg,406,585,126,64,44,9,5,0.40200386818782746
cmp_b0325.jpg,444,552,143,101,71,9,6,0.2959966522527549
cmp_b0326.jpg,713,1024,95,63,47,10,5,0.4634174554432361
cmp_b0327.jpg,647,596,128,85,65,14,4,0.5256550841276378
cmp_b0328.jpg,456,638,121,53,43,10,4,0.44263263029150485
cmp_b0329.jpg,419,411,49,19,18,8,2,0.17412518221436718
cmp_b0330.jpg,554,700,92,65,48,9,5,0.3740618698978542
cmp_b0331.jpg,658,559,61,35,24,9,3,0.26537684651140153
cmp_b0332.jpg,700,591,60,32,24,9,2,0.233541801095283
cmp_b0333.jpg,529,738,134,65,55,12,4,0.2734310697244976
cmp_b0334.jpg,459,609,139,70,53,11,4,0.317727320272579
cmp_b0335.jpg,373,590,122,61,52,7,7,0.29944266943698505
cmp_b0336.jpg,458,631,103,41,32,8,3,0.1482887261555467
cmp_b0337.jpg,487,634,149,62,45,8,5,0.3421941839865186
cmp_b0338.jpg,667,858,151,75,55,11,5,0.29855430229657154
cmp_b0339.jpg,578,1011,130,73,56,11,5,0.5416201960503948
cmp_b0340.jpg,416,685,119,63,43,8,4,0.29949874686716793
cmp_b0341.jpg,438,626,120,60,42,9,5,0.2928718714043222
cmp_b0342.jpg,323,497,84,51,39,6,5,0.456733850129199
cmp_b0343.jpg,457,705,101,50,39,9,3,0.2762845175098809
cmp_b0344.jpg,356,592,105,51,41,9,6,0.20549564189688285
cmp_b0345.jpg,506,657,113,60,47,11,3,0.4398849832417553
cmp_b0346.jpg,448,583,117,68,53,9,5,0.46647959803881844
cmp_b0347.jpg,468,666,161,103,77,10,6,0.4013551183512995
cmp_b0348.jpg,396,992,85,42,33,7,3,0.42480314082402015
cmp_b0349.jpg,473,568,88,56,42,9,3,0.3680058468218654
cmp_b0350.jpg,207,1024,98,53,36,4,6,0.32091399934373416
cmp_b0351.jpg,731,1024,113,70,62,15,4,0.21908453931765737
cmp_b0352.jpg,786,1024,94,47,41,13,2,0.31578032410206797
cmp_b0353.jpg,688,1024,132,66,55,10,4,0.5778419371814558
cmp_b0354.jpg,531,885,73,42,33,6,5,0.29008334207439757
cmp_b0355.jpg,386,810,158,67,52,10,4,0.2688747202893664
cmp_b0356.jpg,766,672,104,50,46,13,3,0.48714423034076226
cmp_b0357.jpg,724,718,98,49,42,11,3,0.25401797096862117
cmp_b0358.jpg,454,487,68,39,28,7,5,0.25452665344194486
cmp_b0359.jpg,710,884,143,84,69,14,3,0.2901296111665005
cmp_b0360.jpg,452,542,140,71,50,9,5,0.37442972792564005
cmp_b0361.jpg,433,601,196,109,77,10,6,0.5309800299606907
cmp_b0362.jpg,447,490,117,87,66,10,5,0.5212791991979349
cmp_b0363.jpg,622,468,153,88,68,14,4,0.3408781964143733
cmp_b0364.jpg,482,614,183,86,68,11,5,0.17894326468834565
cmp_b0365.jpg,365,529,158,81,59,8,6,0.3092247454972592
cmp_b0366.jpg,363,631,172,89,64,9,6,0.801958616332333
cmp_b0367.jpg,447,759,261,110,92,12,7,0.26934586346312694
cmp_b0368.jpg,476,544,194,84,63,10,6,0.2528563419970333
cmp_b0369.jpg,446,455,159,71,52,9,4,0.32262496565162
cmp_b0370.jpg,532,359,122,65,52,11,3,0.2104053236539625
cmp_b0371.jpg,438,643,174,94,70,8,7,1.278340951260352
cmp_b0372.jpg,447,433,181,82,56,11,4,0.3324241980761811
cmp_b0373.jpg,445,643,173,131,91,9,9,2.63752240589524
cmp_b0374.jpg,371,612,139,86,66,8,6,0.43345425688697425
cmp_b0375.jpg,415,470,153,78,50,8,6,0.46985987223206704
cmp_b0376.jpg,606,554,128,69,55,11,4,0.38885618847212206
cmp_b0377.jpg,393,593,161,90,69,9,7,0.25336406175119675
cmp_b0378.jpg,408,538,90,29,23,5,3,0.11309635505155266
