image,H_x,W_x,masks_total_x,candidates_kept_x,blocks_drawn_x,rows_x,median_cols_per_row_x,H_y,W_y,masks_total_y,candidates_kept_y,blocks_drawn_y,rows_y,median_cols_per_row_y,occupancy,regularity_index,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr,H_ws,W_ws,masks_total_ws,candidates_kept_ws,blocks_drawn_ws,rows_ws,median_cols_per_row_ws,wwr_ws,shading_idx,risk_flag,bad_flag
cmp_b0022.jpg,1024,984,177,110,97,20,2,1024,984,177,110,97,20,2,2.425,0.0,1024,984,177,110,97,20,2,0.4218293370800927,1024,984,177,110,97,20,2,0.4218293370800927,0.0310273732832027,False,False
cmp_b0023.jpg,1024,855,142,93,81,17,4,1024,855,142,93,81,17,4,1.1911764705882353,0.7124777741802922,1024,855,142,93,81,17,4,0.4014654921941989,1024,855,142,93,81,17,4,0.4014654921941989,0.0086968037620327,False,False
cmp_b0024.jpg,1024,739,93,30,24,9,2,1024,739,93,30,24,9,2,1.3333333333333333,0.296969961248734,1024,739,93,30,24,9,2,0.0850796093301937,1024,739,93,30,24,9,2,0.0850796093301937,0.0352714300851199,False,False
cmp_b0025.jpg,1024,760,132,84,72,20,3,1024,760,132,84,72,20,3,1.2,0.3115153411936863,1024,760,132,84,72,20,3,0.2371874738773739,1024,760,132,84,72,20,3,0.2371874738773739,0.0582885451355891,False,False
cmp_b0026.jpg,1024,701,162,113,97,21,4,1024,701,162,113,97,21,4,1.1547619047619049,0.4497836478813917,1024,701,162,113,97,21,4,0.52043696994139,1024,701,162,113,97,21,4,0.52043696994139,0.0563281558316104,False,False
cmp_b0027.jpg,1024,745,225,145,119,20,4,1024,745,225,145,119,20,4,1.4875,0.4801516219375286,1024,745,225,145,119,20,4,0.3905922690265707,1024,745,225,145,119,20,4,0.3905922690265707,0.0155948753031904,False,False
cmp_b0028.jpg,1024,1004,202,121,106,19,5,1024,1004,202,121,106,19,5,1.1157894736842104,0.3873685946091856,1024,1004,202,121,106,19,5,0.2821443809107262,1024,1004,202,121,106,19,5,0.2821443809107262,0.0129859118044181,False,False
cmp_b0029.jpg,1024,848,196,142,130,16,8,1024,848,196,142,130,16,8,1.015625,0.0,1024,848,196,142,130,16,8,0.4213413306641211,1024,848,196,142,130,16,8,0.4213413306641211,0.0885958675649136,False,False
cmp_b0030.jpg,592,1024,147,75,65,13,3,592,1024,147,75,65,13,3,1.6666666666666667,0.7272728669420772,592,1024,147,75,65,13,3,4.903803481576398,592,1024,147,75,65,13,3,1.0,1.0,False,True
cmp_b0031.jpg,993,1024,86,45,43,11,2,993,1024,86,45,43,11,2,1.9545454545454544,0.3625347142831945,993,1024,86,45,43,11,2,0.2647559118377556,993,1024,86,45,43,11,2,0.2647559118377556,0.0052881393848317,False,False
cmp_b0032.jpg,732,1024,131,61,54,12,3,732,1024,131,61,54,12,3,1.5,0.678788019650988,732,1024,131,61,54,12,3,0.127337725776625,732,1024,131,61,54,12,3,0.127337725776625,0.2385786580514151,False,False
cmp_b0033.jpg,828,1024,140,73,59,12,3,828,1024,140,73,59,12,3,1.6388888888888888,0.6636365127639312,828,1024,140,73,59,12,3,0.2362109548953495,828,1024,140,73,59,12,3,0.2362109548953495,0.0674624570652608,False,False
cmp_b0034.jpg,1024,854,196,130,105,18,5,1024,854,196,130,105,18,5,1.1666666666666667,0.4484850139576948,1024,854,196,130,105,18,5,0.2991494314394781,1024,854,196,130,105,18,5,0.2991494314394781,0.0128194275100921,False,False
cmp_b0035.jpg,770,1024,109,59,50,9,4,770,1024,109,59,50,9,4,1.3888888888888888,0.6909091584940112,770,1024,109,59,50,9,4,0.53262972193113,770,1024,109,59,50,9,4,0.53262972193113,0.1498566186673244,False,False
cmp_b0036.jpg,947,1024,178,88,77,15,2,947,1024,178,88,77,15,2,2.566666666666667,0.2957578912027839,947,1024,178,88,77,15,2,0.2928960299474429,947,1024,178,88,77,15,2,0.2928960299474429,0.0252315645237554,False,False
cmp_b0037.jpg,994,1024,183,130,109,17,8,994,1024,183,130,109,17,8,0.8014705882352942,0.0,994,1024,183,130,109,17,8,0.3274140753691657,994,1024,183,130,109,17,8,0.3274140753691657,0.0069758144101378,False,False
cmp_b0038.jpg,1024,721,152,97,82,16,5,1024,721,152,97,82,16,5,1.025,0.5972728620936076,1024,721,152,97,82,16,5,0.2156034811475226,1024,721,152,97,82,16,5,0.2156034811475226,0.0467232958523479,False,False
cmp_b0039.jpg,1024,775,175,117,102,15,5,1024,775,175,117,102,15,5,1.36,0.6273940830375838,1024,775,175,117,102,15,5,0.2566749457707759,1024,775,175,117,102,15,5,0.2566749457707759,0.0063433972971268,False,False
cmp_b0040.jpg,1024,687,198,137,119,21,5,1024,687,198,137,119,21,5,1.1333333333333333,0.2521214089439162,1024,687,198,137,119,21,5,0.4533912576429969,1024,687,198,137,119,21,5,0.4533912576429969,0.0016456121469069,True,False
cmp_b0041.jpg,954,1024,178,128,110,17,6,954,1024,178,128,110,17,6,1.0784313725490196,0.3247774327120383,954,1024,178,128,110,17,6,0.3241238479609662,954,1024,178,128,110,17,6,0.3241238479609662,0.0011879220288984,False,False
cmp_b0042.jpg,1024,933,148,97,84,17,4,1024,933,148,97,84,17,4,1.2352941176470589,0.7076649425808741,1024,933,148,97,84,17,4,0.1841919467718313,1024,933,148,97,84,17,4,0.1841919467718313,0.0156239616298601,False,False
cmp_b0043.jpg,1024,550,103,52,44,15,2,1024,550,103,52,44,15,2,1.4666666666666666,0.4157578257482742,1024,550,103,52,44,15,2,0.1867523175751048,1024,550,103,52,44,15,2,0.1867523175751048,0.0331567203239639,False,False
cmp_b0044.jpg,1024,591,134,65,55,13,3,1024,591,134,65,55,13,3,1.4102564102564104,0.7552448796566437,1024,591,134,65,55,13,3,0.1375717319596945,1024,591,134,65,55,13,3,0.1375717319596945,0.0156835571163732,False,False
cmp_b0045.jpg,1024,704,219,19,17,12,1,1024,704,219,19,17,12,1,1.4166666666666667,0.2878791237831221,1024,704,219,19,17,12,1,0.020461078540885,1024,704,219,19,17,12,1,0.020461078540885,0.0,False,False
cmp_b0046.jpg,1024,778,162,97,80,17,3,1024,778,162,97,80,17,3,1.568627450980392,0.4713014260518876,1024,778,162,97,80,17,3,0.3491822294397401,1024,778,162,97,80,17,3,0.3491822294397401,0.0854210764110334,False,False
cmp_b0047.jpg,1024,849,300,207,178,20,7,1024,849,300,207,178,20,7,1.2714285714285714,0.0,1024,849,300,207,178,20,7,0.2915447983154802,1024,849,300,207,178,20,7,0.2915447983154802,0.0617194591472256,False,False
cmp_b0048.jpg,1024,696,97,51,38,10,2,1024,696,97,51,38,10,2,1.9,0.3018184687050994,1024,696,97,51,38,10,2,0.4991155159913122,1024,696,97,51,38,10,2,0.4991155159913122,0.1194506025014768,False,False
cmp_b0049.jpg,1024,715,96,71,64,19,2,1024,715,96,71,64,19,2,1.6842105263157894,0.1253591590545281,1024,715,96,71,64,19,2,0.3652170212765957,1024,715,96,71,64,19,2,0.3652170212765957,0.0091922547026968,False,False
cmp_b0050.jpg,1024,636,78,45,40,14,2,1024,636,78,45,40,14,2,1.4285714285714286,0.4865803231928529,1024,636,78,45,40,14,2,0.2421826007168837,1024,636,78,45,40,14,2,0.2421826007168837,0.0,False,False
cmp_b0051.jpg,810,1024,224,103,98,19,4,810,1024,224,103,98,19,4,1.2894736842105263,0.5684211365231056,810,1024,224,103,98,19,4,0.1380918992934378,810,1024,224,103,98,19,4,0.1380918992934378,0.0794525763097678,False,False
cmp_b0052.jpg,942,1024,117,58,56,12,3,942,1024,117,58,56,12,3,1.5555555555555556,0.6727274168961652,942,1024,117,58,56,12,3,0.1898954664268503,942,1024,117,58,56,12,3,0.1898954664268503,0.0207434126340145,False,False
cmp_b0053.jpg,1015,1024,110,55,52,13,3,1015,1024,110,55,52,13,3,1.3333333333333333,0.7636364834710136,1015,1024,110,55,52,13,3,0.2370701899397908,1015,1024,110,55,52,13,3,0.2370701899397908,0.0722697586663347,False,False
cmp_b0054.jpg,1024,809,101,46,44,13,2,1024,809,101,46,44,13,2,1.6923076923076923,0.5244757656705705,1024,809,101,46,44,13,2,0.2454226035745488,1024,809,101,46,44,13,2,0.2454226035745488,0.2288021261683189,False,False
cmp_b0055.jpg,955,1024,162,126,112,18,4,955,1024,162,126,112,18,4,1.5555555555555556,0.6060606946739856,955,1024,162,126,112,18,4,0.3937360031181254,955,1024,162,126,112,18,4,0.3937360031181254,0.0,False,False
cmp_b0056.jpg,1024,483,109,56,46,16,2,1024,483,109,56,46,16,2,1.4375,0.3522729866389987,1024,483,109,56,46,16,2,0.207471486765948,1024,483,109,56,46,16,2,0.207471486765948,0.0466274162455061,False,False
cmp_b0057.jpg,1024,497,131,99,72,18,3,1024,497,131,99,72,18,3,1.3333333333333333,0.4303032056932266,1024,497,131,99,72,18,3,0.4253917044227182,1024,497,131,99,72,18,3,0.4253917044227182,0.0302632653463506,False,False
cmp_b0058.jpg,690,1024,159,62,58,11,5,690,1024,159,62,58,11,5,1.0545454545454545,0.6607163789113728,690,1024,159,62,58,11,5,0.1968383005005301,690,1024,159,62,58,11,5,0.1968383005005301,0.0124112466347838,False,False
cmp_b0059.jpg,1024,725,244,155,134,16,7,1024,725,244,155,134,16,7,1.1964285714285714,0.1785717735929117,1024,725,244,155,134,16,7,0.3037157131893402,1024,725,244,155,134,16,7,0.3037157131893402,0.0094861087307592,False,False
cmp_b0060.jpg,1024,533,256,109,96,18,5,1024,533,256,109,96,18,5,1.0666666666666669,0.4593940989163758,1024,533,256,109,96,18,5,0.2329128469802182,1024,533,256,109,96,18,5,0.2329128469802182,0.0212559239361649,False,False
cmp_b0061.jpg,1024,321,193,130,107,20,4,1024,321,193,130,107,20,4,1.3375,0.49651524937555,1024,321,193,130,107,20,4,0.4225384136315257,1024,321,193,130,107,20,4,0.4225384136315257,0.0,True,False
cmp_b0062.jpg,1024,595,152,90,83,19,3,1024,595,152,90,83,19,3,1.456140350877193,0.3502394282585873,1024,595,152,90,83,19,3,0.2549421663234727,1024,595,152,90,83,19,3,0.2549421663234727,0.042584059602741,False,False
cmp_b0063.jpg,1024,296,103,77,60,21,3,1024,296,103,77,60,21,3,0.9523809523809524,0.2614720531942142,1024,296,103,77,60,21,3,0.2233741055377348,1024,296,103,77,60,21,3,0.2233741055377348,0.003572567783094,False,False
cmp_b0064.jpg,1024,241,120,63,49,17,2,1024,241,120,63,49,17,2,1.4411764705882353,0.2852052617834898,1024,241,120,63,49,17,2,0.2116239741784843,1024,241,120,63,49,17,2,0.2116239741784843,0.0431657164099748,False,False
cmp_b0065.jpg,1024,297,157,67,61,19,3,1024,297,157,67,61,19,3,1.0701754385964912,0.3923446684499874,1024,297,157,67,61,19,3,0.2024202008092312,1024,297,157,67,61,19,3,0.2024202008092312,0.0074548719402702,False,False
cmp_b0066.jpg,1024,616,371,273,241,20,10,1024,616,371,273,241,20,10,1.205,0.0,1024,616,371,273,241,20,10,0.2217214446264114,1024,616,371,273,241,20,10,0.2217214446264114,0.0114664243924841,False,False
cmp_b0067.jpg,1024,460,160,89,68,17,3,1024,460,160,89,68,17,3,1.3333333333333333,0.4969698612487839,1024,460,160,89,68,17,3,0.2561418117757139,1024,460,160,89,68,17,3,0.2561418117757139,0.1223228199704494,False,False
cmp_b0068.jpg,1024,399,151,112,90,16,4,1024,399,151,112,90,16,4,1.40625,0.7556818756886866,1024,399,151,112,90,16,4,0.3446823814214133,1024,399,151,112,90,16,4,0.3446823814214133,0.0249684734706608,False,False
cmp_b0069.jpg,1024,840,179,116,97,23,2,1024,840,179,116,97,23,2,2.108695652173913,0.0,1024,840,179,116,97,23,2,0.2620724390974759,1024,840,179,116,97,23,2,0.2620724390974759,0.0941108596620882,False,False
cmp_b0070.jpg,1024,449,188,77,61,15,5,1024,449,188,77,61,15,5,0.8133333333333334,0.6463031636326307,1024,449,188,77,61,15,5,0.2498629399147822,1024,449,188,77,61,15,5,0.2498629399147822,0.0179888830299306,False,False
cmp_b0071.jpg,1024,835,141,67,57,17,3,1024,835,141,67,57,17,3,1.1176470588235294,0.5204992601792722,1024,835,141,67,57,17,3,0.2410854918788228,1024,835,141,67,57,17,3,0.2410854918788228,0.0072458429517089,False,False
cmp_b0072.jpg,1024,586,219,122,107,19,5,1024,586,219,122,107,19,5,1.1263157894736842,0.3862202698766929,1024,586,219,122,107,19,5,0.5602952080765596,1024,586,219,122,107,19,5,0.5602952080765596,0.0,True,False
cmp_b0073.jpg,917,1024,135,63,56,11,4,917,1024,135,63,56,11,4,1.2727272727272727,0.8369146390015736,917,1024,135,63,56,11,4,0.2504969452402336,917,1024,135,63,56,11,4,0.2504969452402336,0.0369325047279725,False,False
cmp_b0074.jpg,839,1024,167,95,84,13,5,839,1024,167,95,84,13,5,1.2923076923076924,0.7681120055053443,839,1024,167,95,84,13,5,0.345046592312096,839,1024,167,95,84,13,5,0.345046592312096,0.0532999690662424,False,False
cmp_b0075.jpg,1024,445,153,71,55,17,2,1024,445,153,71,55,17,2,1.6176470588235294,0.2659539353858176,1024,445,153,71,55,17,2,0.1434993942053596,1024,445,153,71,55,17,2,0.1434993942053596,0.0,False,False
cmp_b0076.jpg,1024,666,150,81,68,19,2,1024,666,150,81,68,19,2,1.7894736842105263,0.1138759117296008,1024,666,150,81,68,19,2,0.2489643830661796,1024,666,150,81,68,19,2,0.2489643830661796,0.0092517166234163,False,False
cmp_b0077.jpg,1024,786,204,129,106,13,6,1024,786,204,129,106,13,6,1.358974358974359,0.560839382199507,1024,786,204,129,106,13,6,5.70352731840067,1024,786,204,129,106,13,6,1.0,1.0,False,True
cmp_b0078.jpg,1024,805,248,98,84,14,5,1024,805,248,98,84,14,5,1.2,0.7115152745270308,1024,805,248,98,84,14,5,0.2282687413655202,1024,805,248,98,84,14,5,0.2282687413655202,0.0759711426088956,False,False
cmp_b0079.jpg,1024,601,210,108,92,17,4,1024,601,210,108,92,17,4,1.3529411764705883,0.6948307249824259,1024,601,210,108,92,17,4,0.3340036824166534,1024,601,210,108,92,17,4,0.3340036824166534,0.0,False,False
cmp_b0080.jpg,1024,503,145,56,51,16,2,1024,503,145,56,51,16,2,1.59375,0.3352275413910598,1024,503,145,56,51,16,2,0.1159057705980825,1024,503,145,56,51,16,2,0.1159057705980825,0.0,False,False
cmp_b0081.jpg,514,1024,279,166,136,11,12,514,1024,279,166,136,11,12,1.0303030303030305,0.0,514,1024,279,166,136,11,12,0.3245629138036282,514,1024,279,166,136,11,12,0.3245629138036282,0.0221506778761512,False,False
cmp_b0082.jpg,758,1024,273,166,136,14,7,758,1024,273,166,136,14,7,1.3877551020408163,0.29103311093104,758,1024,273,166,136,14,7,0.3034431912932812,758,1024,273,166,136,14,7,0.3034431912932812,0.1069558529240419,False,False
cmp_b0083.jpg,827,1024,277,117,102,13,8,827,1024,277,117,102,13,8,0.9807692307692308,0.1979024990462075,827,1024,277,117,102,13,8,0.1534386226216338,827,1024,277,117,102,13,8,0.1534386226216338,0.0652087168067551,False,False
cmp_b0084.jpg,995,1024,138,86,72,17,4,995,1024,138,86,72,17,4,1.0588235294117647,0.7269162689785464,995,1024,138,86,72,17,4,0.2608884281617152,995,1024,138,86,72,17,4,0.2608884281617152,0.0620063155599433,False,False
cmp_b0085.jpg,828,1024,158,115,91,16,5,828,1024,158,115,91,16,5,1.1375,0.5850001415150916,828,1024,158,115,91,16,5,0.306794790089497,828,1024,158,115,91,16,5,0.306794790089497,0.0173129876240316,False,False
cmp_b0086.jpg,703,1024,120,85,64,12,5,703,1024,120,85,64,12,5,1.0666666666666669,0.7260607211386054,703,1024,120,85,64,12,5,0.3417355527220473,703,1024,120,85,64,12,5,0.3417355527220473,0.0925445329471397,False,False
cmp_b0087.jpg,530,1024,172,122,82,10,7,530,1024,172,122,82,10,7,1.1714285714285717,0.1812990448325819,530,1024,172,122,82,10,7,0.6916497156378429,530,1024,172,122,82,10,7,0.6916497156378429,0.0272734076479466,False,False
cmp_b0088.jpg,441,1024,143,85,73,11,6,441,1024,143,85,73,11,6,1.106060606060606,0.4550966472659418,441,1024,143,85,73,11,6,0.3725443040559396,441,1024,143,85,73,11,6,0.3725443040559396,0.0222572591106638,False,False
cmp_b0089.jpg,365,1024,166,100,87,7,11,365,1024,166,100,87,7,11,1.12987012987013,0.0,365,1024,166,100,87,7,11,0.2240894677950136,365,1024,166,100,87,7,11,0.2240894677950136,0.1129196032132278,False,False
cmp_b0090.jpg,1024,813,110,47,44,15,2,1024,813,110,47,44,15,2,1.4666666666666666,0.4157578257482742,1024,813,110,47,44,15,2,0.1801400443839811,1024,813,110,47,44,15,2,0.1801400443839811,0.0447115204196369,False,False
cmp_b0091.jpg,1024,929,143,78,66,17,3,1024,929,143,78,66,17,3,1.2941176470588236,0.5012479337816,1024,929,143,78,66,17,3,0.2381616975669144,1024,929,143,78,66,17,3,0.2381616975669144,0.1044994103359132,False,False
cmp_b0092.jpg,1024,844,110,35,34,13,2,1024,844,110,35,34,13,2,1.3076923076923077,0.5664337847424203,1024,844,110,35,34,13,2,0.0829947390832543,1024,844,110,35,34,13,2,0.0829947390832543,0.0760378862861541,False,False
cmp_b0093.jpg,723,1024,121,42,36,12,2,723,1024,121,42,36,12,2,1.5,0.478788119650938,723,1024,121,42,36,12,2,0.1645676871495663,723,1024,121,42,36,12,2,0.1645676871495663,0.0372634053803471,False,False
cmp_b0094.jpg,1024,721,122,58,50,14,2,1024,721,122,58,50,14,2,1.7857142857142858,0.4476193054832782,1024,721,122,58,50,14,2,0.2737730313035373,1024,721,122,58,50,14,2,0.2737730313035373,0.1195271676547456,False,False
cmp_b0095.jpg,1024,781,139,75,67,17,4,1024,781,139,75,67,17,4,0.9852941176470588,0.7317291005779645,1024,781,139,75,67,17,4,0.5474186703869773,1024,781,139,75,67,17,4,0.5474186703869773,0.136802403165372,False,False
cmp_b0096.jpg,627,1024,182,88,78,12,5,627,1024,182,88,78,12,5,1.3,0.7006061895683499,627,1024,182,88,78,12,5,0.354062899818501,627,1024,182,88,78,12,5,0.354062899818501,0.0733559661521128,False,False
cmp_b0097.jpg,883,1024,242,150,121,18,7,883,1024,242,150,121,18,7,0.9603174603174603,0.0623380202543324,883,1024,242,150,121,18,7,0.4053360861427936,883,1024,242,150,121,18,7,0.4053360861427936,0.0975828005802084,False,False
cmp_b0098.jpg,1024,802,130,64,55,16,3,1024,802,130,64,55,16,3,1.1458333333333333,0.5840910511018682,1024,802,130,64,55,16,3,0.3164989200801483,1024,802,130,64,55,16,3,0.3164989200801483,0.0990133540174927,False,False
cmp_b0099.jpg,737,1024,153,96,76,16,4,737,1024,153,96,76,16,4,1.1875,0.7795454990358011,737,1024,153,96,76,16,4,0.4051284108344448,737,1024,153,96,76,16,4,0.4051284108344448,0.2732106938818116,False,False
cmp_b0100.jpg,1024,726,190,118,105,20,4,1024,726,190,118,105,20,4,1.3125,0.4992425206152202,1024,726,190,118,105,20,4,0.7164044312815541,1024,726,190,118,105,20,4,0.7164044312815541,0.120000075990296,False,False
cmp_b0101.jpg,1024,845,131,73,62,18,3,1024,845,131,73,62,18,3,1.148148148148148,0.450505214875969,1024,845,131,73,62,18,3,0.4034462798877955,1024,845,131,73,62,18,3,0.4034462798877955,0.1604257663809709,False,False
cmp_b0102.jpg,768,1024,140,60,55,10,5,768,1024,140,60,55,10,5,1.1,0.5890910483745969,768,1024,140,60,55,10,5,0.1636951360314648,768,1024,140,60,55,10,5,0.1636951360314648,0.0290349279353225,False,False
