image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row
cmp_b0248.jpg,648,1024,143,100,76,15,6
cmp_b0249.jpg,1024,842,167,76,65,17,4
cmp_b0250.jpg,1024,882,141,75,72,16,3
cmp_b0251.jpg,1024,810,122,66,57,17,3
cmp_b0252.jpg,1024,888,149,79,66,20,3
cmp_b0253.jpg,938,1024,157,87,70,17,2
cmp_b0254.jpg,992,1024,163,94,89,16,4
cmp_b0255.jpg,1024,743,197,147,113,21,5
cmp_b0256.jpg,1024,902,178,99,91,18,3
cmp_b0257.jpg,1024,834,206,107,98,18,4
cmp_b0258.jpg,1024,996,164,64,55,12,3
cmp_b0259.jpg,762,1024,153,89,81,12,5
cmp_b0260.jpg,1024,753,166,117,99,20,5
cmp_b0261.jpg,943,1024,227,130,113,20,5
cmp_b0262.jpg,1007,1024,203,80,75,15,3
cmp_b0263.jpg,1024,858,178,95,84,16,5
cmp_b0264.jpg,1024,948,165,92,78,19,4
cmp_b0265.jpg,1024,967,160,99,82,16,4
cmp_b0266.jpg,1024,653,187,82,78,19,3
cmp_b0267.jpg,1024,878,305,121,107,20,4
cmp_b0268.jpg,925,1024,163,76,70,16,3
cmp_b0269.jpg,1024,774,150,88,74,18,4
cmp_b0270.jpg,1024,827,109,40,35,11,2
cmp_b0271.jpg,735,1024,199,109,99,18,5
cmp_b0272.jpg,623,1024,165,88,78,13,4
cmp_b0273.jpg,1024,852,214,122,101,21,5
cmp_b0274.jpg,1024,680,211,119,102,20,5
cmp_b0275.jpg,1024,899,217,143,121,20,5
cmp_b0276.jpg,1024,963,189,111,95,19,4
cmp_b0277.jpg,1024,777,175,95,74,17,4
cmp_b0278.jpg,1024,829,211,88,74,16,3
cmp_b0279.jpg,717,1024,147,80,73,15,4
cmp_b0280.jpg,508,1024,186,73,71,11,8
cmp_b0281.jpg,445,606,104,73,53,9,5
cmp_b0282.jpg,502,721,155,86,65,7,9
cmp_b0283.jpg,584,550,127,89,68,12,5
cmp_b0284.jpg,638,510,159,107,80,13,6
cmp_b0285.jpg,767,1024,161,124,109,15,7
cmp_b0286.jpg,650,1024,179,128,110,13,9
cmp_b0287.jpg,474,507,141,76,49,9,5
cmp_b0288.jpg,490,740,125,63,40,9,4
cmp_b0289.jpg,476,500,96,54,41,11,3
cmp_b0290.jpg,241,338,98,43,30,6,3
cmp_b0291.jpg,385,625,139,85,55,8,7
cmp_b0292.jpg,539,547,89,52,36,12,2
cmp_b0293.jpg,556,584,76,35,31,9,3
cmp_b0294.jpg,321,487,107,62,46,6,6
cmp_b0295.jpg,453,612,161,93,67,11,6
cmp_b0296.jpg,421,590,134,57,45,7,6
cmp_b0297.jpg,494,576,119,62,43,9,4
cmp_b0298.jpg,462,566,137,47,32,7,5
cmp_b0299.jpg,391,585,135,50,41,7,4
cmp_b0300.jpg,441,595,96,36,32,10,2
cmp_b0301.jpg,329,647,148,90,60,7,10
cmp_b0302.jpg,359,659,126,61,43,8,4
cmp_b0303.jpg,371,800,143,85,60,9,7
cmp_b0304.jpg,332,530,94,56,39,8,5
cmp_b0305.jpg,614,619,147,90,73,13,4
cmp_b0306.jpg,594,581,81,50,38,13,3
cmp_b0307.jpg,416,445,104,52,38,9,4
cmp_b0308.jpg,356,587,129,66,46,7,5
cmp_b0309.jpg,714,704,91,55,44,13,3
cmp_b0310.jpg,506,524,74,33,31,9,3
cmp_b0311.jpg,720,849,144,91,71,15,5
cmp_b0312.jpg,383,646,124,43,36,6,4
cmp_b0313.jpg,362,573,135,68,47,7,6
cmp_b0314.jpg,415,630,138,86,59,9,6
cmp_b0315.jpg,594,634,87,49,43,12,3
cmp_b0316.jpg,606,476,78,34,29,10,2
cmp_b0317.jpg,403,953,110,55,43,8,4
cmp_b0318.jpg,592,491,85,42,38,12,3
cmp_b0319.jpg,610,452,69,39,34,9,3
cmp_b0320.jpg,371,349,48,29,22,7,3
cmp_b0321.jpg,482,492,56,29,22,8,2
cmp_b0322.jpg,595,540,100,36,34,11,2
cmp_b0323.jpg,437,599,134,75,53,9,6
cmp_b0324.jpg,406,585,126,64,44,9,5
cmp_b0325.jpg,444,552,143,101,71,9,6
cmp_b0326.jpg,713,1024,95,63,47,10,5
cmp_b0327.jpg,647,596,128,85,65,14,4
cmp_b0328.jpg,456,638,121,53,43,10,4
cmp_b0329.jpg,419,411,49,19,18,8,2
cmp_b0330.jpg,554,700,92,65,48,9,5
cmp_b0331.jpg,658,559,61,35,24,9,3
cmp_b0332.jpg,700,591,60,32,24,9,2
cmp_b0333.jpg,529,738,134,65,55,12,4
cmp_b0334.jpg,459,609,139,70,53,11,4
cmp_b0335.jpg,373,590,122,61,52,7,7
cmp_b0336.jpg,458,631,103,41,32,8,3
cmp_b0337.jpg,487,634,149,62,45,8,5
cmp_b0338.jpg,667,858,151,75,55,11,5
cmp_b0339.jpg,578,1011,130,73,56,11,5
cmp_b0340.jpg,416,685,119,63,43,8,4
cmp_b0341.jpg,438,626,120,60,42,9,5
cmp_b0342.jpg,323,497,84,51,39,6,5
cmp_b0343.jpg,457,705,101,50,39,9,3
cmp_b0344.jpg,356,592,105,51,41,9,6
cmp_b0345.jpg,506,657,113,60,47,11,3
cmp_b0346.jpg,448,583,117,68,53,9,5
cmp_b0347.jpg,468,666,161,103,77,10,6
cmp_b0348.jpg,396,992,85,42,33,7,3
cmp_b0349.jpg,473,568,88,56,42,9,3
cmp_b0350.jpg,207,1024,98,53,36,4,6
cmp_b0351.jpg,731,1024,113,70,62,15,4
cmp_b0352.jpg,786,1024,94,47,41,13,2
cmp_b0353.jpg,688,1024,132,66,55,10,4
cmp_b0354.jpg,531,885,73,42,33,6,5
cmp_b0355.jpg,386,810,158,67,52,10,4
cmp_b0356.jpg,766,672,104,50,46,13,3
cmp_b0357.jpg,724,718,98,49,42,11,3
cmp_b0358.jpg,454,487,68,39,28,7,5
cmp_b0359.jpg,710,884,143,84,69,14,3
cmp_b0360.jpg,452,542,140,71,50,9,5
cmp_b0361.jpg,433,601,196,109,77,10,6
cmp_b0362.jpg,447,490,117,87,66,10,5
cmp_b0363.jpg,622,468,153,88,68,14,4
cmp_b0364.jpg,482,614,183,86,68,11,5
cmp_b0365.jpg,365,529,158,81,59,8,6
cmp_b0366.jpg,363,631,172,89,64,9,6
cmp_b0367.jpg,447,759,261,110,92,12,7
cmp_b0368.jpg,476,544,194,84,63,10,6
cmp_b0369.jpg,446,455,159,71,52,9,4
cmp_b0370.jpg,532,359,122,65,52,11,3
cmp_b0371.jpg,438,643,174,94,70,8,7
cmp_b0372.jpg,447,433,181,82,56,11,4
cmp_b0373.jpg,445,643,173,131,91,9,9
cmp_b0374.jpg,371,612,139,86,66,8,6
cmp_b0375.jpg,415,470,153,78,50,8,6
cmp_b0376.jpg,606,554,128,69,55,11,4
cmp_b0377.jpg,393,593,161,90,69,9,7
cmp_b0378.jpg,408,538,90,29,23,5,3
